65.32186,1.97542,10,1,small
43.01853,1.815309,11,3,small
69.060324,1.904364,12,4,small
60.131708,1.941152,10,2,small
44.04274,1.829362,12,2,small
40.969166,1.812656,12,3,small
66.025696,1.934596,11,2,small
65.429464,1.934092,11,0,small
41.505226,1.850005,11,2,small
44.162839,1.886782,10,2,small
69.48326,1.970324,11,3,small
67.546616,2.079824,10,2,small
67.174856,2.04884,10,0,small
69.203456,2.049956,10,4,small
63.873028,1.978972,11,3,small
78.236816,2.176472,12,2,small
84.312312,2.247024,12,5,small
62.688808,1.99966,11,3,small
66.897112,1.980244,11,3,small
63.404404,1.967212,9,0,small
48.018695,1.818029,13,5,small
76.069448,2.087816,13,3,small
73.990744,2.034868,11,3,small
66.089912,1.992188,11,2,small
43.603259,1.860101,10,1,small
68.314008,2.027952,11,1,small
71.571248,2.129972,11,1,small
65.6782,2.08414,10,1,small
40.550573,1.873343,11,4,small
72.994672,1.978072,10,1,small
44.515261,1.87972,13,2,small
41.119584,1.789983,11,3,small
65.28948,1.981596,10,1,small
308.6216,4.528736,17,4,large
358.053192,4.463352,19,5,large
262.58708,3.761624,15,2,large
343.511712,4.120344,19,5,large
137.788561,3.143716,16,5,large
349.562864,4.92608,20,2,large
322.4004,4.45812,17,3,large
246.28944,3.743616,16,3,large
307.61624,4.015904,18,6,large
305.078464,4.01596,16,5,large
345.960384,4.475616,19,1,large
198.163159,3.456781,19,7,large
137.24998,3.242824,15,3,large
189.149462,3.526274,19,2,large
299.275264,4.23988,16,4,large
156.937254,3.157836,18,5,large
164.903789,3.220523,19,5,large
308.3826,4.187856,17,3,large
365.916048,4.735032,20,4,large
268.894752,3.872904,16,1,large
160.691335,3.360025,19,5,large
344.519,4.285664,19,5,large
358.341312,4.2654,17,6,large
151.747855,3.519793,19,5,large
159.690755,3.340901,17,6,large
327.960648,4.419072,20,8,large
337.330896,4.428384,16,7,large
330.472192,4.478104,19,4,large
131.081914,3.343405,16,6,large
373.128096,4.714608,18,5,large
276.50124,3.85164,15,1,large
266.09352,4.085376,16,3,large
242.525848,3.78424,14,1,large
299.434272,4.198488,16,7,giant
376.542264,6.294252,18,5,giant
327.968808,4.633908,18,5,giant
326.648088,5.61312,16,6,giant
378.54264,6.07548,19,4,giant
381.854232,5.156604,23,7,giant
206.777354,4.133732,17,4,giant
382.320344,5.083688,20,3,giant
346.28888,5.548016,18,6,giant
333.409328,4.479488,19,6,giant
174.96082,3.551899,17,2,giant
299.939976,4.444128,16,3,giant
398.98544,5.813636,17,5,giant
370.578816,5.701176,18,1,giant
339.325956,5.322276,18,8,giant
186.510659,3.667202,20,5,giant
387.88248,5.618532,22,4,giant
192.831758,3.848837,20,6,giant
395.628792,4.994484,20,3,giant
181.199844,3.467217,19,5,giant
369.550404,4.453848,17,2,giant
165.660744,3.769161,18,3,giant
217.225159,4.06693,21,4,giant
189.201765,3.546642,18,2,giant
204.4023,3.917835,20,2,giant
179.296047,3.525165,17,1,giant
319.80972,4.629792,20,5,giant
220.70972,4.24298,22,3,giant
134.291359,3.282505,16,4,giant
370.843172,4.695344,20,3,giant
162.773932,3.4369,18,1,giant
196.86142,3.697108,22,5,giant
338.042768,5.461016,19,4,giant
209.600783,3.777896,22,3,giant
